country,activity,attackdate,victim,group
,Not Found,2025-10-20 18:15:29.595752,ocbar.org/USA/114GB,kairos
CA,Public Sector,2025-10-20 18:05:41.594832,oxfordcounty.ca,BrainCipher
,Education,2025-10-20 18:05:11.469350,cdom.org,BrainCipher
TH,Hospitality and Tourism,2025-10-20 17:38:52.194940,Cape Dara Resort Pattaya,obscura
QA,Technology,2025-10-20 16:18:53.029758,Computer World W.L.L,blackshrantac
US,Business Services,2025-10-20 00:00:00.000000,Selig Enterprises; AAA Parking,akira
,Not Found,2025-10-19 00:00:00.000000,Supercash (Reuploaded),spacebears
DE,Manufacturing,2025-10-20 14:30:41.976000,saacke.com,lynx
US,Manufacturing,2025-10-20 14:50:29.266620,"Cabinets 2000, LLC",blackshrantac
EG,Financial Services,2025-10-20 14:49:57.079967,Al Ahly Leasing & Factoring Company,blackshrantac
UK,Not Found,2025-10-20 13:42:05.197451,Peppermint Properties,ciphbit
FR,Not Found,2025-10-20 13:41:37.698315,Corneilhan,ciphbit
CH,Not Found,2025-10-16 00:00:00.000000,B. G. Schneider Treuhand AG Information,pear
DE,Not Found,2025-10-20 11:39:18.534240,Gruppe Lehnen,nova
IT,Technology,2025-10-19 09:46:56.000000,Imagicle,medusa
US,Business Services,2025-10-19 09:47:34.000000,Linxx Global Solutions,medusa
FR,Not Found,2025-10-19 09:48:11.000000,DALCANS,medusa
US,Manufacturing,2025-10-19 20:40:05.964616,Accord Carton,play
US,Technology,2025-10-19 20:13:06.414476,"Collins Aerospace Admits Responsibility for Flight Chaos at Heathrow, Brussels and Other M...",everest
US,Healthcare,2025-10-19 17:41:03.142631,healthandvitalitycenter.com,safepay
US,Healthcare,2025-10-19 16:04:38.000000,"My Florida Case Management Services, LLC",radar
GB,Not Found,2025-10-19 00:00:00.000000,JA Jennings,qilin
MX,Healthcare,2025-10-19 00:00:00.000000,"BIOPHARMEX, SA de CV",qilin
CA,Business Services,2025-10-19 00:00:00.000000,Stephenson's Rental Services,qilin
GB,Healthcare,2025-10-19 00:00:00.000000,London Women's Clinic,qilin
US,Business Services,2025-10-19 00:00:00.000000,Scales Sales & Service,qilin
,Not Found,2025-10-19 00:00:00.000000,Laloma,qilin
US,Not Found,2025-10-19 00:00:00.000000,Khatami Law,qilin
,Not Found,2025-10-19 00:00:00.000000,SANgel,qilin
US,Business Services,2025-10-19 00:00:00.000000,Kudela & Weinheimer,qilin
ES,Not Found,2025-10-19 00:00:00.000000,Distribuciones Camba,qilin
PL,Manufacturing,2025-10-19 00:00:00.000000,Klima-Therm,qilin
US,Healthcare,2025-10-19 00:00:00.000000,The Blood and Marrow Transplant Group of Georgia,qilin
US,Consumer Services,2025-10-19 00:00:00.000000,Platinum Wines & Spirits,qilin
,Healthcare,2025-10-19 00:00:00.000000,Sports Medicine and Orthopaedics,qilin
US,Manufacturing,2025-10-19 00:00:00.000000,Winholt Equipment Group,qilin
US,Manufacturing,2024-05-06 00:00:00.000000,All Weather Architectural Aluminum,qilin
CZ,Not Found,2025-10-19 00:00:00.000000,"Wassa, SRO",qilin
US,Healthcare,2025-10-19 00:00:00.000000,SIGN Fracture Care International,qilin
US,Hospitality and Tourism,2025-10-19 00:00:00.000000,Indian Spring Country Club,qilin
CA,Education,2025-10-19 00:00:00.000000,Grande Prairie Public Library,qilin
US,Transportation/Logistics,2025-10-19 00:00:00.000000,BARCO Rent-A-Truck,qilin
FI,Not Found,2025-10-19 00:00:00.000000,Octomeca OY,qilin
GB,Energy,2025-10-19 00:00:00.000000,Gas Generator Solutions,qilin
US,Consumer Services,2025-10-19 00:00:00.000000,Cellini Design Center,qilin
,Consumer Services,2025-10-19 00:00:00.000000,Stowaway Storage,qilin
,Not Found,2025-10-19 06:43:11.479712,Commemoration of Commander Martyr Reza Awada,handala
US,Healthcare,2025-10-19 00:00:00.000000,Long Island Weight Loss Institute,qilin
US,Consumer Services,2025-10-18 23:59:00.000000,summitgolfbrands.com,incransom
PE,Construction,2025-10-18 19:40:46.000000,MC INVERSIONES INMOBILIARIAS Construction company in Peru,radar
,Not Found,2025-10-18 19:22:34.000000,TK HOLDINGS GROUP,radar
,Not Found,2025-10-18 11:51:52.656351,Saturday Reckoning,handala
US,Manufacturing,2025-10-17 23:23:42.798932,Collins Aerospace / RTX.com,everest
,Technology,2025-10-17 23:23:19.637738,MUSE-INSECURE: Inside Collins Aerospaces Security Failure,everest
US,Business Services,2025-10-17 20:51:46.910000,D Magazine Partners,sinobi
US,Not Found,2025-10-17 21:09:32.586000,HOEHNER RESEARCH & CONSULTING GROUP,sinobi
MG,Transportation/Logistics,2025-02-19 00:00:00.000000,Madagascar Airlines,thegentlemen
US,Healthcare,2025-10-17 20:47:29.609664,Hematology Oncology Consultants,rhysida
,Not Found,2025-10-15 20:44:27.606751,Cottage,play
US,Manufacturing,2025-10-17 20:19:51.104314,Colins Aerospace / RTX.com,everest
US,Technology,2025-10-17 20:19:08.092753,MUSE-INSECURE: Inside Colins Aerospaces Security Failure,everest
CA,Financial Services,2025-10-17 20:17:09.607373,Desjardin Bank / Group,coinbasecartel
US,Not Found,2025-10-17 09:00:00.000000,"Shadrix & Parmer, P.C.",incransom
US,Not Found,2025-10-14 00:00:00.000000,"GFF&F - Galine, Frye, Fitting & Frangos, LLP",pear
US,Manufacturing,2025-10-17 00:00:00.000000,Manko Window Systems,akira
US,Not Found,2025-10-17 00:00:00.000000,Tenryu America,akira
FR,Healthcare,2025-10-17 16:21:05.950783,pharmaciedesalizes.fr,devman
AU,Business Services,2025-10-17 15:44:50.000000,"Sold Real Estate, Sold RE PTY LTD",radar
AU,Not Found,2025-10-17 14:28:35.000000,UrbanX PTY LTD,radar
AU,Not Found,2025-10-17 14:57:53.000000,One Agency Eastlakes,radar
,Not Found,2025-10-17 13:11:40.255569,Alitech,nova
US,Hospitality and Tourism,2025-10-16 00:00:00.000000,"Consolidated Restaurant Operations, Inc.",akira
US,Manufacturing,2025-10-17 00:00:00.000000,Plastics Extrusion Machinery,akira
US,Manufacturing,2025-10-17 00:00:00.000000,Curtis Steel Co,akira
,Not Found,2025-10-17 12:15:31.375104,WEBER,ransomhouse
DE,Business Services,2025-10-17 07:49:33.112353,GEIGER,rhysida
US,Not Found,2025-10-17 03:20:24.215842,SK shieldus,blackshrantac
AU,Manufacturing,2025-10-16 23:37:03.359671,Aussie Fluid Power,anubis
,Not Found,2025-10-16 22:50:13.407069,www.o****m*nt.com,devman
PL,Not Found,2025-10-16 22:13:53.107812,M3 Group Sp. z oo,nova
,Not Found,2025-10-16 22:13:01.511566,ShareP,nova
US,Not Found,2025-10-16 18:45:46.421922,BMP Worldwide,play
MY,Healthcare,2025-10-16 13:39:18.768825,Regency Specialist Hospital,nova
US,Manufacturing,2025-10-16 11:24:09.000000,Coilplus,worldleaks
CA,Technology,2025-10-16 00:00:00.000000,pandarose.ca,qilin
CA,Transportation/Logistics,2025-10-16 00:00:00.000000,montship.ca,qilin
,Not Found,2025-10-16 00:00:00.000000,dalton.com,qilin
US,Technology,2025-10-16 00:00:00.000000,bmcinnovation.com,qilin
US,Financial Services,2025-10-16 00:00:00.000000,gslong.com,qilin
US,Not Found,2025-10-16 00:00:00.000000,arpis.com,qilin
US,Manufacturing,2025-10-16 00:00:00.000000,pcdpackaging.com,qilin
,Not Found,2025-10-16 11:23:36.680699,*****.com,cloak
,Not Found,2025-10-16 11:23:33.461560,L********den.com,cloak
US,Technology,2025-10-16 00:00:00.000000,coppage.net,qilin
US,Consumer Services,2025-10-16 00:00:00.000000,arizonafireplaces.com,qilin
GB,Not Found,2025-10-16 09:46:27.662843,Sibbalds,rhysida
US,Not Found,2025-10-16 09:24:09.600314,www.ronvil.com,kraken
AE,Not Found,2025-10-16 02:48:31.646931,Gulf Warranties LLC,blackshrantac
FI,Not Found,2025-10-16 01:47:50.745450,Docurail,radiant
NL,Not Found,2025-10-16 01:47:46.629158,Dutch ???,radiant
US,Technology,2025-10-16 00:00:00.000000,Beta Dyne,qilin
US,Business Services,2025-10-15 00:00:00.000000,Middlesex Appraisal Associates,qilin
,Not Found,2025-10-15 00:00:00.000000,Sprague & Jackson,qilin
IN,Healthcare,2025-10-15 00:00:00.000000,Rasi Laboratories,qilin
US,Manufacturing,2025-10-15 18:45:29.859049,Tex-Tube,rhysida
ES,Public Sector,2025-10-15 00:00:00.000000,Agencia Tributaria,qilin
US,Healthcare,2025-10-15 00:00:00.000000,Richmond Behavioral Health Authority,qilin
US,Manufacturing,2025-10-15 18:41:24.881687,Cellucap Manufacturing,play
US,Technology,2025-10-15 18:40:46.799094,Global Shop Solutions,play
,Manufacturing,2025-10-15 18:40:06.936470,Legacy Manufacturing,play
US,Construction,2025-10-15 18:39:28.803889,Koch & White Heating & Cooling,play
TH,Hospitality and Tourism,2025-10-15 18:38:51.283701,Royal Thai,play
BO,Public Sector,2025-10-15 18:21:00.168235,EMBASY OF BOLIVIA DC,devman
US,Healthcare,2025-10-15 18:20:25.042810,regionalurology.com,devman
US,Not Found,2025-10-15 16:28:45.969000,Core Resources Inc (CRI),sinobi
US,Healthcare,2025-10-15 16:34:06.875000,Newmark Healthcare Services,sinobi
US,Healthcare,2025-10-15 16:37:41.818000,East Jefferson General Hospital,sinobi
US,Manufacturing,2025-10-15 16:43:00.321000,Zierick Manufacturing Corporation,sinobi
US,Financial Services,2025-10-15 00:00:00.000000,Centurion Family Office Services LLC,qilin
US,Energy,2025-10-15 14:13:15.478042,ChampionX,coinbasecartel
KE,Technology,2025-10-15 00:00:00.000000,Turnkey Africa,qilin
US,Consumer Services,2025-10-15 00:00:00.000000,Superior Linen Service,qilin
CA,Not Found,2025-10-15 00:00:00.000000,Buanderie Blanchelle,qilin
CL,Not Found,2025-10-15 00:00:00.000000,Pangea,qilin
,Education,2025-10-15 00:00:00.000000,Victory Christian Center,qilin
,Not Found,2025-10-15 00:00:00.000000,Bay West,qilin
US,Manufacturing,2025-10-15 00:00:00.000000,Florida Marking Products,qilin
FR,Not Found,2025-10-15 00:00:00.000000,TF LE TOIT FOREZIEN,qilin
US,Business Services,2025-10-15 00:00:00.000000,Wheale Law Firm,qilin
FR,Not Found,2025-10-15 00:00:00.000000,ville-elne,qilin
JP,Agriculture and Food Production,2025-10-15 00:00:00.000000,Asahi Group Holdings,qilin
FR,Public Sector,2025-10-15 00:00:00.000000,Commune De Saint Claude,qilin
DE,Not Found,2025-10-15 00:00:00.000000,LEYHAUSEN Research,qilin
US,Education,2025-10-15 13:22:28.576359,Kearney Public Schools,interlock
AU,Education,2025-10-10 12:00:43.112000,www.cbsaust.org.au,lynx
US,Education,2025-10-15 10:22:58.400685,The North Stonington School District,interlock
US,Technology,2025-10-02 00:00:00.000000,Navigator Business Solutions,pear
BR,Healthcare,2025-10-15 07:46:26.210011,Unimed do Brasil,sarcoma
US,Transportation/Logistics,2025-08-19 00:00:00.000000,"All Truck Transportation Co., Inc.",qilin
US,Not Found,2025-10-14 00:00:00.000000,Charles River Properties,qilin
,Not Found,2025-10-14 23:20:50.000000,ICET Studios,thegentlemen
,Not Found,2025-10-14 00:00:00.000000,Landmark Management,qilin
US,Financial Services,2025-10-14 00:00:00.000000,New Jersey Property-Liability Insurance Guaranty Association,qilin
MY,Not Found,2025-10-14 00:00:00.000000,SFG Technology Sdn Bhd,qilin
US,Manufacturing,2025-10-14 00:00:00.000000,WebCut Converting,qilin
US,Manufacturing,2025-10-14 00:00:00.000000,Kecy Metal Technologies,qilin
FR,Manufacturing,2025-10-14 00:00:00.000000,Volkswagen Group France,qilin
CA,Not Found,2025-10-14 00:00:00.000000,Pro-Fab,qilin
US,Construction,2025-08-09 15:04:07.702000,Ganther Construction,sinobi
FR,Not Found,2025-10-14 00:00:00.000000,Canapés Mobilier Décoration,qilin
FR,Agriculture and Food Production,2025-10-14 00:00:00.000000,Prim Saveurs Import Export,qilin
DE,Technology,2025-10-14 00:00:00.000000,Rihatec Systemlösungen,qilin
US,Manufacturing,2025-10-14 00:00:00.000000,Executive Cabinetry,qilin
FR,Not Found,2025-10-14 00:00:00.000000,Alu Perpignan,qilin
DE,Not Found,2025-10-14 00:00:00.000000,Home/ Schramm Udo Dipl Kfm Steuerberater,qilin
FR,Not Found,2025-10-14 00:00:00.000000,Roger RENARD Entreprise,qilin
,Construction,2025-10-14 00:00:00.000000,Hunter Construction Group,qilin
FR,Technology,2025-10-14 00:00:00.000000,Urban Linker,qilin
CO,Agriculture and Food Production,2025-10-14 00:00:00.000000,Alqueria,qilin
ES,Technology,2025-10-14 00:00:00.000000,SICE,qilin
FR,Not Found,2025-10-14 00:00:00.000000,EURORDIS,qilin
,Healthcare,2025-10-14 00:00:00.000000,PQCNC Hospitals,qilin
US,Healthcare,2025-10-14 00:00:00.000000,UT Health Austin,qilin
FI,Not Found,2025-10-14 00:00:00.000000,ZEF's,qilin
FR,Healthcare,2025-10-14 00:00:00.000000,Paris Rétina Vision,qilin
,Not Found,2025-10-14 00:00:00.000000,Buldi,qilin
US,Public Sector,2025-10-14 00:00:00.000000,"City of Riviera Beach, Florida",qilin
,Healthcare,2025-10-14 00:00:00.000000,Gittens Healthcare,qilin
,Transportation/Logistics,2025-10-14 00:00:00.000000,Trans-World Shipping Service,qilin
ET,Not Found,2025-10-14 00:00:00.000000,Addis,qilin
CO,Not Found,2025-10-14 00:00:00.000000,Ditransa,qilin
US,Hospitality and Tourism,2025-10-14 00:00:00.000000,LaRosa's,qilin
US,Construction,2025-10-14 00:00:00.000000,McGeorge Architecture Interiors,qilin
FR,Not Found,2025-10-14 00:00:00.000000,Typology,qilin
,Public Sector,2025-10-14 19:51:39.670893,****** embassy D.C,devman
AR,Healthcare,2025-10-14 00:00:00.000000,Sistema Odontológico Privado,qilin
US,Healthcare,2025-10-14 00:00:00.000000,American Journal of Managed Care,qilin
US,Public Sector,2025-10-14 00:00:00.000000,Catawba County Government,qilin
US,Education,2025-10-14 00:00:00.000000,HMP Global,qilin
US,Not Found,2025-10-14 00:00:00.000000,Morris-Sockle,qilin
,Construction,2025-10-14 00:00:00.000000,Capitol Construction Services,qilin
SE,Not Found,2025-10-14 00:00:00.000000,Polar-studio,qilin
,Not Found,2025-10-14 00:00:00.000000,H. Gascon,qilin
US,Manufacturing,2025-10-14 16:05:00.000000,baronespecialtysteel.com,incransom
US,Not Found,2025-10-14 00:00:00.000000,Art Guild,akira
US,Not Found,2025-10-14 00:00:00.000000,Ostrolenk Faber,akira
US,Manufacturing,2025-10-14 00:00:00.000000,Clifford Paper,qilin
GR,Not Found,2025-10-14 00:00:00.000000,MPM Imports,qilin
CA,Consumer Services,2025-10-14 00:00:00.000000,Radiant Beauty Supplies,qilin
TW,Manufacturing,2025-10-14 00:00:00.000000,Tong Yang Group,qilin
ES,Hospitality and Tourism,2025-10-14 00:00:00.000000,Club Lleuresport,qilin
SE,Telecommunication,2025-10-14 00:00:00.000000,Repeated Signal Solutions,qilin
ES,Manufacturing,2025-10-11 00:00:00.000000,Atarfil,qilin
PK,Business Services,2025-10-11 00:00:00.000000,Greenstar Social Marketing,qilin
US,Not Found,2025-10-11 00:00:00.000000,DuVal & Associates,qilin
,Construction,2025-04-14 17:38:18.863117,Pratt Homes,qilin
US,Technology,2025-10-14 00:00:00.000000,Force Marketing,qilin
CA,Manufacturing,2025-10-14 00:00:00.000000,DV Hardwoods,qilin
US,Manufacturing,2025-10-14 00:00:00.000000,Plast-O-Matic Valves,akira
US,Healthcare,2025-10-14 00:00:00.000000,Blood Bank Computer Systems,akira
US,Not Found,2025-10-14 00:00:00.000000,M&E Global Group,qilin
,Not Found,2025-10-09 13:02:55.000000,Leprohon (Image !),medusa
MA,Transportation/Logistics,2025-10-12 13:20:57.000000,LA VOIE EXPRESS,medusa
US,Business Services,2025-10-12 13:21:27.000000,Design To Print,medusa
BR,Energy,2025-10-12 13:24:27.000000,EcoPetróleo,medusa
US,Manufacturing,2025-10-13 03:07:37.000000,Cemtrex,medusa
,Consumer Services,2025-10-13 18:23:39.205783,Fountains Condominium Operations,dragonforce
,Transportation/Logistics,2025-10-05 06:45:54.741449,Speed Inter Transport,direwolf
PT,Not Found,2025-10-05 06:45:36.002106,"Miguel Veiga, Neiva Santos e Associados.",direwolf
AT,Transportation/Logistics,2025-10-14 04:53:06.618780,Schedler-translog,coinbasecartel
US,Energy,2025-10-10 00:00:00.000000,Karnes Electric Cooperative,qilin
US,Technology,2025-10-13 00:00:00.000000,Business Integra,akira
,Financial Services,2025-10-13 00:00:00.000000,Bank3,qilin
US,Energy,2025-10-13 00:00:00.000000,San Bernard Electric Cooperative,qilin
KR,Not Found,2025-10-13 00:00:00.000000,"BHI Co., Ltd.",qilin
ID,Manufacturing,2025-10-13 20:17:39.850820,Indaco Warna Dunia,nova
BR,Manufacturing,2025-10-13 19:48:19.770356,www.mercantetubos.com.br,alphalocker
,Not Found,2025-10-13 00:00:00.000000,SourceOne Corporation,qilin
FR,Public Sector,2025-10-13 00:00:00.000000,hautsdefrance.fr,qilin
JP,Technology,2025-10-13 14:41:44.381349,Furuno Electric,rhysida
ES,Manufacturing,2025-10-09 13:39:26,Undefasa,blacknevas
US,Education,2025-10-13 13:17:14.652100,North Stonington Elementary School,interlock
DK,Technology,2025-10-13 11:54:36.462256,relationmedia.dk,obscura
EG,Not Found,2025-10-13 11:54:01.921179,meamargroup.com,obscura
US,Healthcare,2025-10-13 11:53:47.667411,plazadental.com,obscura
US,Healthcare,2025-10-13 11:53:33.042317,heavenly-dental.com,obscura
IE,Not Found,2025-10-13 11:53:17.794777,thefixingcompany.com,obscura
MY,Not Found,2025-10-13 11:53:02.730014,eastdesign.com.my,obscura
PT,Technology,2025-10-13 11:52:28.152253,espectral.pt,obscura
US,Public Sector,2025-10-13 11:51:51.487333,michigancityin.gov,obscura
,Not Found,2025-10-13 10:29:18.542382,DragonForce team hurry to notify you about new public available registration panel!\n\http...,dragonforce
,Transportation/Logistics,2025-10-13 10:52:03.144753,PLC-Transportation,coinbasecartel
DK,Transportation/Logistics,2025-10-13 10:51:28.658736,dsv.com,coinbasecartel
CH,Transportation/Logistics,2025-10-13 10:50:51.521743,Kuehne + Nagel,coinbasecartel
TR,Not Found,2025-10-13 10:13:07.425254,Altas Temizlik,blackshrantac
CA,Financial Services,2025-10-13 09:21:40.663259,Borrowell.com,coinbasecartel
,Business Services,2025-10-13 09:21:02.358056,Legal Boutique,coinbasecartel
DE,Technology,2025-10-13 09:20:47.506089,Canias ERP,coinbasecartel
,Healthcare,2025-10-13 09:20:12.053026,Carewell,coinbasecartel
FR,Manufacturing,2025-10-12 00:00:00.000000,Frisquet,qilin
SE,Manufacturing,2025-10-12 00:00:00.000000,Dynamic Precision Sverige,qilin
AR,Healthcare,2025-10-12 20:16:22.121000,IDB Clinicas,sinobi
US,Not Found,2025-10-12 20:20:26.695000,CMF,sinobi
US,Not Found,2025-10-12 20:24:41.136000,Sunbelt Design & Development,sinobi
IT,Not Found,2025-06-04 00:00:00.000000,Valtorta,qilin
AR,Public Sector,2025-10-12 16:08:04.338085,Ministerio de Salud de la Nación argentina,nova
US,Not Found,2025-10-12 00:00:00.000000,Team Schierl Companies,qilin
US,Construction,2025-10-12 00:00:00.000000,Balfour Beatty,incransom
US,Education,2025-10-12 00:15:23.121502,Kido Schools,radiant
DE,Agriculture and Food Production,2025-10-12 00:15:06.358656,Magna Foodservice,radiant
US,Healthcare,2025-10-12 00:15:01.919002,Minnesota Hospital,radiant
,Consumer Services,2025-10-12 00:14:57.310724,Retail Texas,radiant
UK,Transportation/Logistics,2025-10-12 00:14:53.037111,UK Rail Services,radiant
IL,Technology,2025-10-05 00:00:00.000000,Taldor,nasirsecurity
US,Technology,2025-10-10 00:00:00.000000,Streebo,everest
CA,Not Found,2025-10-11 20:32:39.152280,Integlia,brotherhood
US,Public Sector,2025-10-11 20:32:15.903706,Citizens' Committee for Children of New York,brotherhood
AE,Not Found,2025-10-11 20:27:37.310939,Adore UAE,bqtlock
AE,Education,2025-10-11 20:27:08.384900,EPS FUJ Private School UAE,bqtlock
US,Manufacturing,2025-10-11 16:06:10.289996,Maine Oxy,anubis
US,Manufacturing,2025-10-11 15:46:12.485940,ShapeCorp,nova
JP,Consumer Services,2025-10-11 13:17:10.000000,Mandom Corporation,worldleaks
,Not Found,2025-10-11 07:03:22.233441,RedWanted Alert,handala
US,Energy,2025-10-11 04:34:55.968932,Engie Resources,shinyhunters
US,Agriculture and Food Production,2025-10-11 04:34:18.995614,"Albertsons Companies, Inc.",shinyhunters
AU,Transportation/Logistics,2025-10-11 04:33:42.974597,Qantas Airways Limited,shinyhunters
GB,Transportation/Logistics,2025-10-11 01:44:59.550447,Express Logistics and Distribution Ltd,dragonforce
CY,Not Found,2025-10-10 21:55:36.993578,www.ms-security-ltd.com/Cyprus/1.48TB,kairos
,Healthcare,2025-10-10 21:50:58.581794,r******urology.com,devman
JM,Public Sector,2025-10-10 21:50:24.259278,forestry.gov.jm,devman
,Manufacturing,2025-10-10 20:27:07.639000,Complete Milling Lab,sinobi
US,Education,2025-10-10 20:30:54.762000,Paleontological Research Institution,sinobi
US,Not Found,2025-10-10 21:14:19.265896,empirico-mr.com,safepay
AR,Not Found,2025-10-10 21:13:46.378174,tango-hotel.com.ar,safepay
US,Telecommunication,2025-10-10 21:13:11.711173,bridgenetcommunicationsrgv.com,safepay
US,Not Found,2025-10-10 21:12:37.137111,krne.com,safepay
DE,Not Found,2025-10-10 21:12:01.445766,glatten.de,safepay
US,Consumer Services,2025-10-10 21:11:47.550151,portofuneralhomes.net,safepay
CA,Not Found,2025-10-10 21:11:12.753942,ggw.net,safepay
CA,Manufacturing,2025-10-10 21:10:37.428073,cmlmachinery.com,safepay
,Not Found,2025-10-10 20:21:10.006868,Downes,dragonforce
US,Healthcare,2025-10-10 20:22:55.503000,Bellingham Vet Center,sinobi
US,Healthcare,2025-10-10 20:08:51.214000,Central Jersey Medical Center,sinobi
SA,Agriculture and Food Production,2025-10-10 20:13:48.490000,Sunbulah Group,sinobi
US,Healthcare,2025-10-10 20:16:53.863900,Brevard Skin,pear
QA,Not Found,2025-10-10 00:00:00.000000,Artan Holding,qilin
ES,Agriculture and Food Production,2025-10-10 00:00:00.000000,grupocaparros.com,qilin
NL,Transportation/Logistics,2025-10-10 15:39:02.762258,Den Hartogh Logistics,anubis
US,Financial Services,2025-10-10 15:37:55.997139,Confie,SilentRansomGroup
US,Not Found,2025-10-08 15:50:52.969000,Friendly Gus,sinobi
,Not Found,2025-10-07 20:29:49.887000,americanhome,lynx
ZA,Transportation/Logistics,2025-10-10 12:39:21.833750,Momentum Logistics,brotherhood
CA,Not Found,2025-10-10 12:38:58.392778,Sternthal Montigny Greenberg St-Germain,brotherhood
AU,Not Found,2025-10-10 12:38:35.236477,Kevmor,brotherhood
US,Not Found,2025-04-04 06:36:51.794130,Woodmen Valley Chapel,brotherhood
US,Not Found,2025-10-10 12:38:09.060326,UVJ Technologies,brotherhood
US,Technology,2025-10-10 12:37:44.824869,Motility Software,brotherhood
US,Business Services,2025-10-10 12:37:19.679185,Orion Communications and Public Relations,brotherhood
GB,Energy,2025-10-10 12:36:55.841291,Coal Industry Social Welfare Organisation,brotherhood
US,Construction,2025-10-09 00:00:00.000000,Five Star MechanicalInc.,akira
,Construction,2025-10-10 00:00:00.000000,Carlson Building Maintenance,akira
IL,Energy,2025-10-10 08:52:00.278991,Israel Fuel System,handala
MX,Technology,2025-10-10 03:39:59.985485,Falco Electronics,blackshrantac
US,Business Services,2025-10-09 04:00:00.000000,Churchill Claims Services,securotrop
US,Agriculture and Food Production,2025-10-09 10:00:00.000000,georgetown-brewing-co,incransom
CA,Manufacturing,2025-10-09 10:00:00.000000,NextGen Mold Technologies,incransom
AU,Not Found,2025-10-09 10:00:00.000000,Benedict Industries,incransom
TO,Energy,2025-10-09 10:00:00.000000,https://www.tongapower.to/,incransom
US,Education,2025-10-06 00:00:00.000000,www.ucisd.net,qilin
,Not Found,2025-10-01 00:00:00.000000,Accelerated,play
US,Construction,2025-10-01 00:00:00.000000,Elmer W. Davis,play
US,Not Found,2025-10-09 16:15:29.429426,Sdii Global,rhysida
US,Manufacturing,2025-10-09 00:00:00.000000,Midsun Group,qilin
US,Technology,2025-02-19 00:00:00.000000,www.msssolutions.com,chaos
US,Manufacturing,2025-10-09 00:00:00.000000,Northern Air Systems,akira
US,Not Found,2025-10-09 06:41:08.000000,Heritage Communities,worldleaks
US,Technology,2025-10-09 00:00:00.000000,MBS Secure,qilin
CA,Not Found,2025-10-09 00:00:00.000000,SG Ceresco,akira
GB,Business Services,2025-10-09 00:00:00.000000,Legal & Contingency,akira
ES,Not Found,2025-10-05 00:00:00.000000,ROXU,spacebears
PH,Consumer Services,2025-10-09 04:20:29.000000,Personal Collection,thegentlemen
US,Not Found,2025-10-08 18:34:28.000000,"Chek Tan and Company, LLP",radar
US,Manufacturing,2025-10-08 19:08:08.974084,Shape Corp,nova
US,Hospitality and Tourism,2025-10-08 15:21:41.931000,The Catered Affair,sinobi
US,Business Services,2025-10-08 15:39:59.636000,Public Relations Society of America,sinobi
,Not Found,2025-10-08 16:03:18.240000,Sun Fiber,sinobi
US,Not Found,2025-10-08 16:15:54.890000,MTI America,sinobi
US,Construction,2025-10-08 16:18:25.475000,D. Wilson Construction,sinobi
US,Not Found,2025-10-07 00:00:00.000000,cameronhodges.com,qilin
US,Not Found,2025-10-08 16:57:18.301868,IFPC Worldwide,interlock
US,Healthcare,2025-10-08 14:21:23.914000,Right at Home Care,sinobi
